job,salary,company
汽车维修,6-10K,鑫奥通
汽车维修,10-15K,博瑞恒通
课程设计,12-24K,嘉宾传媒
课程设计（scratch/python）,20-30K·13薪,WeCode
课程设计,15-30K,聪明核桃教育
高中数学课程设计,12-20K·13薪,洋葱数学
课程设计,8-12K,麦思顿国际
课程设计,6-10K,易知信息
小学数学课程设计（校招）,10-15K·13薪,洋葱数学
课程设计,16-28K,外教易
化学课程设计,11-20K,洋葱数学
电商文案,6-10K,北京格力电器
课程文案,8-12K,万门教育
文案策划,8-13K,航天十二院
文案策划,8-15K,跟谁学
资深文案策划,8-12K,天月羲和文化传播
文案策划,6-12K,北京美天
文案策划,6-8K·13薪,中国知网
销售顾问,8-12K,天朔集团
实习生,4-6K,天朔集团
市场营销,8-10K,中国人寿
市场营销,10-15K,时代文仪
市场营销,20-30K,中国人寿
市场营销,5-10K,远行地产
市场营销,10-12K,品今控股
市场营销,10-15K,北京丽兹行
市场营销,12-20K,招商银行信用卡中心
市场营销,15-30K,中国人寿
市场营销,8-16K,欧美思
行政主管,6-12K,大都会人寿
行政主管,8-10K,中国平安人寿保险
行政主管,8-10K,中国平安综合金融集团
行政后勤主管,8-10K,纳通医疗集团
行政主管,4-5K,比如世界
行政主管,6-8K,深圳丝路
行政主管,5-7K,美菜网
行政主管,6-8K,鸿图科华商贸
行政主管,6-8K·13薪,心美大
风控-高级Java开发工程师,20-40K,美菜网
风控,8-15K,鸿泰鼎石资产管理
风控,7-12K,平安普惠
风控建模,25-35K·14薪,中和农信
风控产品经理,15-25K,GEO集奥聚合
风控,5-8K,友信
投资经理,10-20K,四正投资
投资经理,15-30K,野马基金
投资经理,11-20K,kisslink
教务管理,10-15K,龙门尚学
教务管理,5-8K,北京金学郎教育
高级法学专业投资总监,13-15K,方富天元
投资总监,20-40K,微尚创客
投资总监,10-15K,琰旭基金
投资总监,10-15K,茂源蓝天
投资总监,10-20K,九鼎鸿艺集团
投资总监,10-20K,紫荆花众创基地
人力资源专员/助理,5-8K,中国平安综合金融集团
人力资源专员/助理,3-8K,北京源石财富
人事助理专员,8-13K,中国平安
人事专员/助理,4-6K,威远保安
人事专员/助理,7-9K,中国平安综合金融集团
人力资源专员/助理,5-7K,轻创知识产权代理
销售经理,15-30K,北京美年大健康
销售经理,10-15K,中国人寿
销售经理,10-12K,Lianjia.链家
销售经理,10-15K,中国人寿
销售经理,9-13K,北京麦田房产
销售经理,6-10K,我爱我家
销售经理,9-18K,平安银行信用卡中心
销售经理,10-15K,普信恒业
销售经理,18-36K,华夏人寿
销售经理,16-30K,神州信息
西站高薪销售代表,12-20K,中诚致贷
销售专员,10-20K,中国平安
销售专员,20-30K,中国人寿
销售专员,10-15K,交通银行
销售专员,8-16K,中国平安
销售专员,8-16K,中国平安综合金融集团
市场推广专员,5-8K,顺丰速运
市场推广,7-12K,北京英孚教育
市场推广,5-10K,汉普森英语
市场推广顾问,5-10K,北京英孚教育
市场推广,15-30K,平安普惠苏州街分公司
市场推广,6-8K,锋安教育
总裁/总经理/董事长助理,6-7K,精选餐饮
总裁/总经理/董事长助理,10-15K,名品彩叶
副总裁/副总经理,20-40K·16薪,冠新软件
总裁/总经理/董事长助理,10-15K,鹿鼎策划
财务咨询顾问,11-20K,天职国际会计师事务所
财务实施顾问,18-35K,小米
ERP实施顾问（集团财务、制造业方向）,6-11K,浪潮云ERP
SAP财务顾问,10-15K,思创宏拓
SAP顾问（财务）,8-13K,思创宏拓
财务规划顾问,8-13K,源石财富
财务顾问,6-9K,小微律政
汽修教师,5-8K,北京万通汽车学校
汽车维修技师,7-8K·13薪,力众华援
汽车维修,3-4K,鑫奥通
汽车维修技师,8-10K,大通佳信
汽车维修,3-8K,荒原路华汽车服务
汽车维修,3-8K,安惠养车
少儿英语课程设计,15-25K,鲸鱼外教培优
Scratch课程设计,20-30K·13薪,WeCode
课程设计,10-15K,正己基业
汽车科技课程设计经理,8-13K,智东西
英语课程设计,15-22K·13薪,洋葱数学
文案策划专员,9-14K·14薪,我爱我家
文案策划,10-15K,青华园教育
文案策划,6-8K,北京巨龙伟业
文案策划,6-12K,马哥教育
文案策划,8-13K,姿美堂
文案策划,4-8K,藤门国际教育
资深产品运营,20-35K,爱奇艺
产品总监,50-80K,好未来
web前端,20-40K,用友网络
PHP,14-28K,中公教育集团
市场营销,15-20K,招商银行信用卡中心
市场营销,10-15K,品今控股集团
市场营销,8-10K,北京麦田房产
市场营销,5-10K,艾克瑞特机器人教育
市场营销专员,7-12K,ACG国际艺术
市场营销,5-8K,源石财富
行政主管,5-6K,瑞禧婚礼庄园
行政主管,5-7K,天禧天元
物业行政主管,5-6K,中房物业
行政主管,5-8K,家有购物集团
行政主管,8-10K,58到家
风控策略模型,25-35K·16薪,携程旅行网
风控,8-15K,平安普惠
风控系统开发工程师,18-25K,Boss直聘
风控经理,6-12K,鸿泰鼎石
风控策略岗,15-22K,京东集团
风控,15-30K,度小满金融
搜狗金融-风控算法工程师,30-60K·15薪,搜狗
行业风控PMO,10-15K,百度
高级投资经理,5-6K,华福证券北京分公司
投资经理,15-30K,宜信公司
投资经理,15-25K,信义资本
投资总监,15-30K,聚元资本
投资总监,20-40K,童班童学
投资总监/经理,12-18K,北京鲁润国泰
人力资源专员/助理,5-8K,中国平安
人力资源专员/助理,5-10K,中国平安综合金融集团
人事专员/助理,5-6K,华夏国医人（北京...
人事助理专员,5-10K,中国平安
人事专员/助理,6-12K,中国平安
人力资源专员/助理,5-10K,美丽新居
人力资源专员/助理,3-5K,大远未来
人力资源专员/助理,5-7K,小鸟观映
销售经理,10-15K,自如
销售经理,10-15K,国商集团
销售经理,6-10K,天九共享集团
销售经理,30-35K,中工信融
销售经理,8-15K,北京链家
销售经理,8-13K,北京麦田房产
销售专员,12-24K,中国平安
销售代表,10-15K,中国人寿
销售专员,7-12K,和信
市场推广,10-14K,北京影响力
市场推广专员,5-10K,北京英孚教育
市场推广,8-15K,交通银行
市场推广,7-12K,唐城卡巴
市场推广BD,10-15K,招商银行信用卡中心
市场推广专员,5-10K,北京英孚教育
市场推广,10-15K,火山阳光体育
市场推广专员,6-12K,北京英孚教育
市场推广专员,8-12K,TutorABC
总裁/总经理/董事长助理,10-15K,世讯卫星技术有限公司
总裁/总经理/董事长助理,8-10K,中广煜盛文化传播
总裁/总经理/董事长助理,8-15K,世林德
总裁助理/总助/总经理秘书,6-9K,微妙军团
总裁/总经理/董事长助理,10-15K,星澜科技
财务咨询顾问,8-12K,摩天之星北京分公司
财务预算SaaS实施顾问,20-40K,甲骨文
实施顾问-财务类,7-12K,北方科诚
财务规划顾问,10-11K,源石财富
